timestamp,model_name,hidden_sizes,epochs,run_number,final_train_loss,final_valid_loss,final_train_accuracy,final_valid_accuracy
20251111_121501,ClassicalVariableModel,[2],400,1,0.5734879374504089,0.5738917589187622,0.9833333492279053,1.0
20251111_121501,ClassicalVariableModel,[2],400,2,0.574086606502533,0.5808387398719788,0.9750000238418579,0.9666666388511658
20251111_121501,ClassicalVariableModel,[2],400,3,0.5744165182113647,0.5733953714370728,0.9750000238418579,1.0
20251111_121501,ClassicalVariableModel,[2],400,4,0.5733731389045715,0.567643940448761,0.9833333492279053,1.0
20251111_121501,ClassicalVariableModel,[2],400,5,0.5735517144203186,0.573308527469635,0.9750000238418579,1.0
20251111_121501,ClassicalVariableModel,[2],400,6,0.5735428929328918,0.5810651779174805,0.9833333492279053,0.9666666388511658
20251111_121501,ClassicalVariableModel,[2],400,7,0.5741785764694214,0.5888197422027588,0.9750000238418579,0.9666666388511658
20251111_121501,ClassicalVariableModel,[2],400,8,0.5742006301879883,0.5850664377212524,0.9833333492279053,0.9666666388511658
20251111_121501,ClassicalVariableModel,[2],400,9,0.57393878698349,0.5798377394676208,0.9750000238418579,0.9666666388511658
20251111_121501,ClassicalVariableModel,[2],400,10,0.5736071467399597,0.5729095935821533,0.9833333492279053,1.0
20251111_121501,ClassicalVariableModel,[2],400,11,0.5733052492141724,0.5882351994514465,0.9833333492279053,0.9666666388511658
20251111_121501,ClassicalVariableModel,[2],400,12,0.5730346441268921,0.5709574818611145,0.9833333492279053,1.0
20251111_121501,ClassicalVariableModel,[2],400,13,0.5735965371131897,0.5827251672744751,0.9833333492279053,0.9666666388511658
20251111_121501,ClassicalVariableModel,[2],400,14,0.5734413266181946,0.5774691104888916,0.9833333492279053,0.9666666388511658
20251111_121501,ClassicalVariableModel,[2],400,15,0.573769211769104,0.5711213946342468,0.9750000238418579,1.0
