timestamp,model_name,hidden_sizes,epochs,run_number,final_train_loss,final_valid_loss,final_train_accuracy,final_valid_accuracy
20251111_161032,ClassicalVariableModel,"[4, 2]",400,1,0.5731659531593323,0.5893888473510742,0.9833333492279053,0.9666666388511658
20251111_161032,ClassicalVariableModel,"[4, 2]",400,2,0.5737402439117432,0.5767866969108582,0.9750000238418579,1.0
20251111_161032,ClassicalVariableModel,"[4, 2]",400,3,0.5737437009811401,0.5745748281478882,0.9833333492279053,1.0
20251111_161032,ClassicalVariableModel,"[4, 2]",400,4,0.5735556483268738,0.5713807344436646,0.9750000238418579,1.0
20251111_161032,ClassicalVariableModel,"[4, 2]",400,5,0.5732601881027222,0.568947970867157,0.9833333492279053,1.0
20251111_161032,ClassicalVariableModel,"[4, 2]",400,6,0.5742351412773132,0.5786773562431335,0.9833333492279053,0.9666666388511658
20251111_161032,ClassicalVariableModel,"[4, 2]",400,7,0.5742191076278687,0.5718947649002075,0.9750000238418579,1.0
20251111_161032,ClassicalVariableModel,"[4, 2]",400,8,0.573924720287323,0.5834829807281494,0.9750000238418579,0.9666666388511658
20251111_161032,ClassicalVariableModel,"[4, 2]",400,9,0.5735499262809753,0.5685632824897766,0.9833333492279053,1.0
20251111_161032,ClassicalVariableModel,"[4, 2]",400,10,0.5742519497871399,0.5807138085365295,0.9833333492279053,0.9666666388511658
20251111_161032,ClassicalVariableModel,"[4, 2]",400,11,0.5738092660903931,0.5758554339408875,0.9833333492279053,1.0
20251111_161032,ClassicalVariableModel,"[4, 2]",400,12,0.5733171701431274,0.5820809006690979,0.9833333492279053,0.9666666388511658
20251111_161032,ClassicalVariableModel,"[4, 2]",400,13,0.5735577940940857,0.5740548372268677,0.9833333492279053,1.0
20251111_161032,ClassicalVariableModel,"[4, 2]",400,14,0.5734121203422546,0.5722303986549377,0.9833333492279053,1.0
20251111_161032,ClassicalVariableModel,"[4, 2]",400,15,0.5736755728721619,0.5710174441337585,0.9833333492279053,1.0
