timestamp,model_name,hidden_sizes,epochs,run_number,final_train_loss,final_valid_loss,final_train_accuracy,final_valid_accuracy
20251111_163650,ClassicalVariableModel,"[4, 4, 4]",400,1,0.5732961893081665,0.5781601071357727,0.9750000238418579,1.0
20251111_163650,ClassicalVariableModel,"[4, 4, 4]",400,2,0.5731525421142578,0.5817785263061523,0.9833333492279053,0.9666666388511658
20251111_163650,ClassicalVariableModel,"[4, 4, 4]",400,3,0.5734107494354248,0.5796040892601013,0.9833333492279053,0.9666666388511658
20251111_163650,ClassicalVariableModel,"[4, 4, 4]",400,4,0.57322758436203,0.5796788334846497,0.9833333492279053,0.9666666388511658
20251111_163650,ClassicalVariableModel,"[4, 4, 4]",400,5,0.5736108422279358,0.5729385614395142,0.9833333492279053,1.0
20251111_163650,ClassicalVariableModel,"[4, 4, 4]",400,6,0.5732659101486206,0.5717357993125916,0.9833333492279053,1.0
20251111_163650,ClassicalVariableModel,"[4, 4, 4]",400,7,0.57347571849823,0.5762762427330017,0.9833333492279053,1.0
20251111_163650,ClassicalVariableModel,"[4, 4, 4]",400,8,0.5732702612876892,0.5699277520179749,0.9833333492279053,1.0
20251111_163650,ClassicalVariableModel,"[4, 4, 4]",400,9,0.573373019695282,0.5866032242774963,0.9750000238418579,0.9666666388511658
20251111_163650,ClassicalVariableModel,"[4, 4, 4]",400,10,0.572997510433197,0.5750911235809326,0.9833333492279053,1.0
20251111_163650,ClassicalVariableModel,"[4, 4, 4]",400,11,0.5732896327972412,0.5776565670967102,0.9833333492279053,0.9666666388511658
20251111_163650,ClassicalVariableModel,"[4, 4, 4]",400,12,0.5737552642822266,0.5860454440116882,0.9833333492279053,0.9666666388511658
20251111_163650,ClassicalVariableModel,"[4, 4, 4]",400,13,0.5725242495536804,0.5796290040016174,0.9833333492279053,0.9666666388511658
20251111_163650,ClassicalVariableModel,"[4, 4, 4]",400,14,0.5737714171409607,0.567510724067688,0.9750000238418579,1.0
20251111_163650,ClassicalVariableModel,"[4, 4, 4]",400,15,0.5734314322471619,0.5833854079246521,0.9833333492279053,0.9666666388511658
