timestamp,model_name,hidden_sizes,epochs,run_number,final_train_loss,final_valid_loss,final_train_accuracy,final_valid_accuracy
20251121_155848,ClassicalVariableModel,"[3, 3]",400,1,0.5666155219078064,0.5829859972000122,0.9916666746139526,0.9666666388511658
20251121_155848,ClassicalVariableModel,"[3, 3]",400,2,0.574551522731781,0.5733268857002258,0.9750000238418579,1.0
20251121_155848,ClassicalVariableModel,"[3, 3]",400,3,0.5642833709716797,0.6010900735855103,0.9916666746139526,0.9333333373069763
20251121_155848,ClassicalVariableModel,"[3, 3]",400,4,0.5740823149681091,0.5731102824211121,0.9833333492279053,0.9666666388511658
20251121_155848,ClassicalVariableModel,"[3, 3]",400,5,0.5737878680229187,0.571032702922821,0.9750000238418579,1.0
20251121_155848,ClassicalVariableModel,"[3, 3]",400,6,0.5638989210128784,0.5922614932060242,0.9916666746139526,0.9666666388511658
20251121_155848,ClassicalVariableModel,"[3, 3]",400,7,0.5638490915298462,0.6054783463478088,0.9916666746139526,0.9333333373069763
20251121_155848,ClassicalVariableModel,"[3, 3]",400,8,0.5647679567337036,0.5909583568572998,0.9916666746139526,0.9333333373069763
20251121_155848,ClassicalVariableModel,"[3, 3]",400,9,0.5656740665435791,0.5971799492835999,0.9916666746139526,0.9333333373069763
20251121_155848,ClassicalVariableModel,"[3, 3]",400,10,0.5664243698120117,0.5832218527793884,0.9916666746139526,0.9666666388511658
20251121_155848,ClassicalVariableModel,"[3, 3]",400,11,0.5754138827323914,0.5694690942764282,0.9750000238418579,1.0
20251121_155848,ClassicalVariableModel,"[3, 3]",400,12,0.5773468613624573,0.616363525390625,0.9916666746139526,0.9333333373069763
20251121_155848,ClassicalVariableModel,"[3, 3]",400,13,0.5664320588111877,0.5873356461524963,0.9916666746139526,0.9666666388511658
20251121_155848,ClassicalVariableModel,"[3, 3]",400,14,0.5652618408203125,0.5822044014930725,0.9916666746139526,0.9666666388511658
20251121_155848,ClassicalVariableModel,"[3, 3]",400,15,0.5656529664993286,0.5835363268852234,0.9916666746139526,0.9666666388511658
