timestamp,model_name,hidden_sizes,epochs,run_number,final_train_loss,final_valid_loss,final_train_accuracy,final_valid_accuracy
20251111_165212,ClassicalVariableModel_Relu,[1],400,1,0.5661833882331848,0.603639543056488,0.9916666746139526,0.9333333373069763
20251111_165212,ClassicalVariableModel_Relu,[1],400,2,0.5708593130111694,0.5700504183769226,0.9833333492279053,0.9666666388511658
20251111_165212,ClassicalVariableModel_Relu,[1],400,3,0.5683420300483704,0.6128169298171997,0.9916666746139526,0.9333333373069763
20251111_165212,ClassicalVariableModel_Relu,[1],400,4,0.5723548531532288,0.5900277495384216,0.9833333492279053,0.9666666388511658
20251111_165212,ClassicalVariableModel_Relu,[1],400,5,0.5674083828926086,0.5996919274330139,0.9916666746139526,0.9333333373069763
20251111_165212,ClassicalVariableModel_Relu,[1],400,6,0.5656400322914124,0.6069338917732239,0.9916666746139526,0.9333333373069763
20251111_165212,ClassicalVariableModel_Relu,[1],400,7,0.5748022198677063,0.59548419713974,0.9750000238418579,0.9666666388511658
20251111_165212,ClassicalVariableModel_Relu,[1],400,8,0.57387775182724,0.5836324691772461,0.9750000238418579,0.9666666388511658
20251111_165212,ClassicalVariableModel_Relu,[1],400,9,0.5650981068611145,0.5833456516265869,0.9916666746139526,0.9666666388511658
20251111_165212,ClassicalVariableModel_Relu,[1],400,10,0.5726544857025146,0.6009082794189453,0.9833333492279053,0.9333333373069763
20251111_165212,ClassicalVariableModel_Relu,[1],400,11,0.5642831325531006,0.582472562789917,0.9916666746139526,0.9666666388511658
20251111_165212,ClassicalVariableModel_Relu,[1],400,12,0.5730388164520264,0.5692042708396912,0.9833333492279053,1.0
20251111_165212,ClassicalVariableModel_Relu,[1],400,13,0.5658769011497498,0.5988800525665283,0.9916666746139526,0.9333333373069763
20251111_165212,ClassicalVariableModel_Relu,[1],400,14,0.5745432376861572,0.5691856145858765,0.9750000238418579,1.0
20251111_165212,ClassicalVariableModel_Relu,[1],400,15,0.5665373206138611,0.6070002317428589,0.9916666746139526,0.9333333373069763
