timestamp,model_name,hidden_sizes,epochs,run_number,final_train_loss,final_valid_loss,final_train_accuracy,final_valid_accuracy
20251111_164319,ClassicalVariableModel_NoBiases,[2],400,1,0.6914134621620178,0.7125847935676575,0.8500000238418579,0.8333333134651184
20251111_164319,ClassicalVariableModel_NoBiases,[2],400,2,0.6911344528198242,0.7128502130508423,0.8500000238418579,0.8333333134651184
20251111_164319,ClassicalVariableModel_NoBiases,[2],400,3,0.6920688152313232,0.70979243516922,0.8583333492279053,0.8333333134651184
20251111_164319,ClassicalVariableModel_NoBiases,[2],400,4,0.6937199831008911,0.7083045840263367,0.8416666388511658,0.8666666746139526
20251111_164319,ClassicalVariableModel_NoBiases,[2],400,5,0.6917727589607239,0.7096515893936157,0.8583333492279053,0.8333333134651184
20251111_164319,ClassicalVariableModel_NoBiases,[2],400,6,0.6921120285987854,0.7110700011253357,0.8583333492279053,0.8333333134651184
20251111_164319,ClassicalVariableModel_NoBiases,[2],400,7,0.6914495229721069,0.7098716497421265,0.8500000238418579,0.8333333134651184
20251111_164319,ClassicalVariableModel_NoBiases,[2],400,8,0.6944025754928589,0.7077167630195618,0.8416666388511658,0.8666666746139526
20251111_164319,ClassicalVariableModel_NoBiases,[2],400,9,0.6931241750717163,0.7061854004859924,0.8500000238418579,0.8666666746139526
20251111_164319,ClassicalVariableModel_NoBiases,[2],400,10,0.6929041743278503,0.7080121636390686,0.8583333492279053,0.8666666746139526
20251111_164319,ClassicalVariableModel_NoBiases,[2],400,11,0.6925497651100159,0.7112792134284973,0.8583333492279053,0.8333333134651184
20251111_164319,ClassicalVariableModel_NoBiases,[2],400,12,0.6928161978721619,0.707641065120697,0.8583333492279053,0.8666666746139526
20251111_164319,ClassicalVariableModel_NoBiases,[2],400,13,0.6922098398208618,0.7096563577651978,0.8583333492279053,0.8666666746139526
20251111_164319,ClassicalVariableModel_NoBiases,[2],400,14,0.6927288174629211,0.7098982334136963,0.8583333492279053,0.8666666746139526
20251111_164319,ClassicalVariableModel_NoBiases,[2],400,15,0.6921988725662231,0.7102630138397217,0.8583333492279053,0.8666666746139526
