timestamp,model_name,hidden_sizes,epochs,run_number,final_train_loss,final_valid_loss,final_train_accuracy,final_valid_accuracy
20251125_191733,ClassicalVariableModel,[2],400,1,0.8024277091026306,0.8163955807685852,0.875,0.8666666746139526
20251125_191733,ClassicalVariableModel,[2],400,2,0.8019553422927856,0.8135565519332886,0.8833333253860474,0.8666666746139526
20251125_191733,ClassicalVariableModel,[2],400,3,0.8024677038192749,0.8151738047599792,0.8666666746139526,0.8666666746139526
20251125_191733,ClassicalVariableModel,[2],400,4,0.8023297190666199,0.8149149417877197,0.8583333492279053,0.8666666746139526
20251125_191733,ClassicalVariableModel,[2],400,5,0.8020657896995544,0.8137659430503845,0.8916666507720947,0.8666666746139526
20251125_191733,ClassicalVariableModel,[2],400,6,0.8003793954849243,0.8133060336112976,0.8999999761581421,0.8666666746139526
20251125_191733,ClassicalVariableModel,[2],400,7,0.8011263608932495,0.813068151473999,0.8833333253860474,0.8666666746139526
20251125_191733,ClassicalVariableModel,[2],400,8,0.8022644519805908,0.8149092197418213,0.8666666746139526,0.8666666746139526
20251125_191733,ClassicalVariableModel,[2],400,9,0.8022313714027405,0.8139123320579529,0.8666666746139526,0.8666666746139526
20251125_191733,ClassicalVariableModel,[2],400,10,0.8024446964263916,0.8171930909156799,0.8583333492279053,0.8666666746139526
20251125_191733,ClassicalVariableModel,[2],400,11,0.8025845885276794,0.8146869540214539,0.875,0.8666666746139526
20251125_191733,ClassicalVariableModel,[2],400,12,0.8020824790000916,0.8148127198219299,0.8666666746139526,0.8666666746139526
20251125_191733,ClassicalVariableModel,[2],400,13,0.8023518919944763,0.8152334094047546,0.8916666507720947,0.8666666746139526
20251125_191733,ClassicalVariableModel,[2],400,14,0.8028811812400818,0.8158437609672546,0.8666666746139526,0.8666666746139526
20251125_191733,ClassicalVariableModel,[2],400,15,0.8029620051383972,0.8154028654098511,0.8666666746139526,0.8666666746139526
