timestamp,model_name,hidden_sizes,epochs,run_number,final_train_loss,final_valid_loss,final_train_accuracy,final_valid_accuracy,epochs_to_final_train,epochs_to_final_valid
20251212_005216,ClassicalModel_Ortho_NoReLU_NoBias,[4],400,1,0.805996298789978,0.8145450353622437,0.8333333134651184,0.800000011920929,12,9
20251212_005216,ClassicalModel_Ortho_NoReLU_NoBias,[4],400,2,0.805992841720581,0.8150660395622253,0.8333333134651184,0.800000011920929,13,6
20251212_005216,ClassicalModel_Ortho_NoReLU_NoBias,[4],400,3,0.8059923648834229,0.8147487044334412,0.8333333134651184,0.800000011920929,18,8
20251212_005216,ClassicalModel_Ortho_NoReLU_NoBias,[4],400,4,0.805996298789978,0.8145182728767395,0.8333333134651184,0.800000011920929,8,4
20251212_005216,ClassicalModel_Ortho_NoReLU_NoBias,[4],400,5,0.8059943318367004,0.8145164251327515,0.8333333134651184,0.800000011920929,14,8
20251212_005216,ClassicalModel_Ortho_NoReLU_NoBias,[4],400,6,0.805993914604187,0.8150283694267273,0.8333333134651184,0.800000011920929,9,6
20251212_005216,ClassicalModel_Ortho_NoReLU_NoBias,[4],400,7,0.8060013651847839,0.8144662976264954,0.8333333134651184,0.800000011920929,12,3
20251212_005216,ClassicalModel_Ortho_NoReLU_NoBias,[4],400,8,0.8060063719749451,0.8143073916435242,0.8333333134651184,0.800000011920929,14,16
20251212_005216,ClassicalModel_Ortho_NoReLU_NoBias,[4],400,9,0.8060293793678284,0.8136583566665649,0.8333333134651184,0.7666666507720947,18,15
20251212_005216,ClassicalModel_Ortho_NoReLU_NoBias,[4],400,10,0.8059950470924377,0.8145738244056702,0.8333333134651184,0.800000011920929,17,13
20251212_005216,ClassicalModel_Ortho_NoReLU_NoBias,[4],400,11,0.806000828742981,0.814441442489624,0.8333333134651184,0.800000011920929,17,15
20251212_005216,ClassicalModel_Ortho_NoReLU_NoBias,[4],400,12,0.806023359298706,0.8164024949073792,0.8333333134651184,0.800000011920929,10,7
20251212_005216,ClassicalModel_Ortho_NoReLU_NoBias,[4],400,13,0.8060265183448792,0.813689649105072,0.8333333134651184,0.7666666507720947,15,13
20251212_005216,ClassicalModel_Ortho_NoReLU_NoBias,[4],400,14,0.8059945702552795,0.8153558373451233,0.8333333134651184,0.800000011920929,18,13
20251212_005216,ClassicalModel_Ortho_NoReLU_NoBias,[4],400,15,0.8059982657432556,0.8156469464302063,0.8333333134651184,0.800000011920929,10,8
